TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
3.820000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.840000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.860000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.880000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.900000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.920000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.940000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.960000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
3.980000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.000000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.020000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.040000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.060000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.080000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.100000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.120000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.140000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.160000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.180000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.200000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.220000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.240000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.260000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.280000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.300000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.320000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.340000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.360000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.380000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.400000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.420000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.440000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.460000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
