TITLE = "Riemann numerical vs exact"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Numerical", I=501, F=POINT
6.000000000000000e-02 5.893404075999999e-01 -8.126638934000000e-01 1.908010901600000e+00
6.200000000000000e-02 5.862717344000000e-01 -8.015564835000000e-01 1.894118104000000e+00
6.400000000000000e-02 5.832162044000000e-01 -7.904485177000000e-01 1.880311381100000e+00
6.600000000000000e-02 5.801730452000000e-01 -7.793402517000000e-01 1.866590659600000e+00
6.800000000000000e-02 5.771426694000000e-01 -7.682315878000000e-01 1.852955349500000e+00
7.000000000000001e-02 5.741248048000001e-01 -7.571226904000000e-01 1.839405226400000e+00
7.199999999999999e-02 5.711195654000000e-01 -7.460135353000000e-01 1.825939811800000e+00
7.400000000000000e-02 5.681268530000000e-01 -7.349042380000000e-01 1.812558809500000e+00
7.600000000000000e-02 5.651466842000000e-01 -7.237948161000000e-01 1.799261798300000e+00
7.800000000000000e-02 5.621790155000000e-01 -7.126853613000000e-01 1.786048449600000e+00
8.000000000000000e-02 5.592238349000000e-01 -7.015759158000000e-01 1.772918373800000e+00
8.200000000000000e-02 5.562811155000000e-01 -6.904665616000000e-01 1.759871229200000e+00
8.400000000000001e-02 5.533508383000000e-01 -6.793573567000000e-01 1.746906645300000e+00
8.599999999999999e-02 5.504329814000000e-01 -6.682483815000000e-01 1.734024277800000e+00
8.799999999999999e-02 5.475275251000000e-01 -6.571397058000000e-01 1.721223770000000e+00
9.000000000000000e-02 5.446344499000000e-01 -6.460314136000000e-01 1.708504780400000e+00
9.200000000000000e-02 5.417537371000000e-01 -6.349235852000000e-01 1.695866963700000e+00
9.400000000000000e-02 5.388853692000000e-01 -6.238163111000000e-01 1.683309985200000e+00
9.600000000000000e-02 5.360293293000000e-01 -6.127096829000001e-01 1.670833510900000e+00
9.800000000000000e-02 5.331856019000000e-01 -6.016038003000000e-01 1.658437215000000e+00
1.000000000000000e-01 5.303541725000001e-01 -5.904987672999999e-01 1.646120775600000e+00
1.020000000000000e-01 5.275350281000000e-01 -5.793946958000000e-01 1.633883878700000e+00
1.040000000000000e-01 5.247281570000000e-01 -5.682917038999999e-01 1.621726215700000e+00
1.060000000000000e-01 5.219335492000000e-01 -5.571899188000000e-01 1.609647486500000e+00
1.080000000000000e-01 5.191511965000000e-01 -5.460894758000000e-01 1.597647398500000e+00
1.100000000000000e-01 5.163810926000000e-01 -5.349905203999999e-01 1.585725668200000e+00
1.120000000000000e-01 5.136232335000001e-01 -5.238932089000000e-01 1.573882021500000e+00
1.140000000000000e-01 5.108776175000000e-01 -5.127977097000000e-01 1.562116195000000e+00
1.160000000000000e-01 5.081442457000001e-01 -5.017042043000000e-01 1.550427936600000e+00
1.180000000000000e-01 5.054231219999999e-01 -4.906128891000000e-01 1.538817007200000e+00
1.200000000000000e-01 5.027142538000000e-01 -4.795239769000000e-01 1.527283181400000e+00
1.220000000000000e-01 5.000176520000000e-01 -4.684376990000000e-01 1.515826249200000e+00
1.240000000000000e-01 4.973333318000000e-01 -4.573543067000000e-01 1.504446017600000e+00
1.260000000000000e-01 4.946613127000000e-01 -4.462740745000000e-01 1.493142312500000e+00
1.280000000000000e-01 4.920016196000000e-01 -4.351973022000000e-01 1.481914980700000e+00
1.300000000000000e-01 4.893542830000000e-01 -4.241243185000000e-01 1.470763892500000e+00
1.320000000000000e-01 4.867193399000000e-01 -4.130554842000000e-01 1.459688944000000e+00
1.340000000000000e-01 4.840968346000000e-01 -4.019911963000000e-01 1.448690060700000e+00
1.360000000000000e-01 4.814868196000000e-01 -3.909318931000000e-01 1.437767200800000e+00
1.380000000000000e-01 4.788893567000000e-01 -3.798780594000000e-01 1.426920359600000e+00
1.400000000000000e-01 4.763045182000000e-01 -3.688302325000000e-01 1.416149574100000e+00
1.420000000000000e-01 4.737323884000000e-01 -3.577890101000000e-01 1.405454928500000e+00
1.440000000000000e-01 4.711730654000000e-01 -3.467550586000000e-01 1.394836561100000e+00
1.460000000000000e-01 4.686266630000000e-01 -3.357291228000000e-01 1.384294671500000e+00
1.480000000000000e-01 4.660933129000000e-01 -3.247120380000000e-01 1.373829529400000e+00
